Date,Share Code,Year High (GHS),Year Low (GHS),Previous Closing Price VWAP (GHS),Opening Price (GHS),Closing Price VWAP (GHS),Price Change (GHS),Closing Bid Price (GHS),Last Transaction Price (GHS),Total Shares Traded,Closing Offer Price (GHS),,,,,,,,,,,
2017-03-17,BOPP,2.85,2.08,2.85,2.85,2.85,0,2.85,2.85,0,,,,,,,,,,,,
2017-03-20,BOPP,2.85,2.08,2.85,2.85,2.85,0,2.85,2.85,0,,,,,,,,,,,,
2017-03-21,BOPP,2.85,2.08,2.85,2.85,2.85,0,2.86,2.85,0,,,,,,,,,,,,
2017-03-22,BOPP,2.87,2.08,2.85,2.85,2.87,0.02,2.87,2.87,100,,,,,,,,,,,,
2017-03-23,BOPP,2.87,2.08,2.87,2.87,2.87,0,2.88,2.87,0,,,,,,,,,,,,
2017-03-24,BOPP,2.87,2.08,2.87,2.87,2.87,0,2.9,2.87,0,,,,,,,,,,,,
2017-03-27,BOPP,2.87,2.08,2.87,2.87,2.87,0,2.88,2.87,0,,,,,,,,,,,,
2017-03-28,BOPP,2.87,2.08,2.87,2.87,2.87,0,2.89,2.87,0,,,,,,,,,,,,
2017-03-29,BOPP,2.87,2.08,2.87,2.87,2.87,0,2.9,2.87,0,,,,,,,,,,,,
2017-03-30,BOPP,2.87,2.08,2.87,2.87,2.87,0,2.9,2.87,0,,,,,,,,,,,,
2017-03-31,BOPP,2.9,2.08,2.87,2.87,2.9,0.03,2.9,2.9,100,,,,,,,,,,,,
2017-04-03,BOPP,2.9,2.08,2.9,2.9,2.9,0,2.9,2.9,0,,,,,,,,,,,,
2017-04-04,BOPP,2.9,2.08,2.9,2.9,2.9,0,2.91,2.9,0,,,,,,,,,,,,
2017-04-05,BOPP,2.95,2.08,2.9,2.9,2.95,0.05,2.95,2.95,2000,,,,,,,,,,,,
2017-04-06,BOPP,2.97,2.08,2.95,2.95,2.97,0.02,3,2.97,200,,,,,,,,,,,,
2017-04-07,BOPP,2.97,2.08,2.97,2.97,2.97,0,3,2.97,0,,,,,,,,,,,,
2017-04-10,BOPP,2.97,2.08,2.97,2.97,2.97,0,3,2.97,0,,,,,,,,,,,,
2017-04-11,BOPP,2.97,2.08,2.97,2.97,2.97,0,3.02,2.97,0,,,,,,,,,,,,
2017-04-12,BOPP,2.97,2.08,2.97,2.97,2.97,0,3.03,2.97,0,,,,,,,,,,,,
2017-04-13,BOPP,3.01,2.08,2.97,2.97,3.01,0.04,3.01,3.01,400,,,,,,,,,,,,
2017-04-18,BOPP,3.01,2.08,3.01,3.01,3.01,0,3.04,3.01,0,,,,,,,,,,,,
2017-04-19,BOPP,3.01,2.08,3.01,3.01,3.01,0,3.1,3.01,0,,,,,,,,,,,,
2017-04-20,BOPP,3.13,2.08,3.01,3.01,3.13,0.12,3.13,3.13,200,,,,,,,,,,,,
2017-04-21,BOPP,3.21,2.08,3.13,3.13,3.21,0.08,3.23,3.21,1200,,,,,,,,,,,,
