"account no","rate pa","rateable value","current amount",arrears,"rate impose","total paid","account balance","bill type","bill year ","bill date"
PR-AY00590,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00588,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-OMA00586,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00584,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00582,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00580,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00578,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00576,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00574,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00572,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00570,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00568,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00566,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-OF00104,50,0,50,0,,0,50,b,2018,"2018-12-13 00:00:00"
PR-AY00564,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00562,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00560,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00558,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00556,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00554,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-OF00552,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00550,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00548,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00103,500,0,500,0,,0,500,b,2018,"2018-12-13 00:00:00"
PR-AY00546,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00544,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00542,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00540,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00538,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00536,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00534,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00532,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00530,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00528,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OMA00526,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00524,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00522,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00520,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00518,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00516,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00514,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00512,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00510,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00508,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00506,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00504,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00502,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00500,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00498,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00496,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00494,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00492,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00490,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00488,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00486,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00484,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00100,50,0,50,0,,0,50,b,2018,"2018-12-11 00:00:00"
PR-AY00482,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
BB-AY00099,300,0,300,0,,0,300,b,2018,"2018-12-11 00:00:00"
PR-AY00480,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-OMA00478,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00476,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00474,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00098,50,0,50,0,,0,50,b,2018,"2018-12-11 00:00:00"
PR-OMA00472,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00470,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-AY00468,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00466,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00464,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00462,0,0,400,0,,0,400,p,2018,"2018-12-24 00:00:00"
PR-AY00460,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00458,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00456,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00454,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00452,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00450,0,0,45,0,,0,45,p,2018,"2018-12-24 00:00:00"
PR-AY00448,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00097,50,0,50,0,,0,50,b,2018,"2018-12-10 00:00:00"
PR-AY00446,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00444,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00442,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00440,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00438,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00436,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OF00434,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00096,300,0,300,0,,0,300,b,2018,"2018-12-10 00:00:00"
PR-AY00432,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-OMA00095,200,0,200,0,,0,200,b,2018,"2018-12-10 00:00:00"
PR-OF00430,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00094,50,0,50,0,,0,50,b,2018,"2018-12-10 00:00:00"
PR-OF00428,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-OF00426,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00424,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00422,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00420,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-AY00093,100,0,100,0,,0,100,b,2018,"2018-12-10 00:00:00"
PR-AY00418,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-OF00416,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00414,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00412,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00410,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00092,50,0,50,0,,0,50,b,2018,"2018-12-10 00:00:00"
PR-AY00408,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00406,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00091,300,0,300,0,,0,300,b,2018,"2018-12-10 00:00:00"
PR-AY00404,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00402,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00400,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-AY00090,50,0,50,0,,0,50,b,2018,"2018-12-10 00:00:00"
PR-AY00398,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00396,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00394,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00392,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00390,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00388,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00386,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00382,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00380,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00378,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00376,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-AY00374,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00372,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00370,0,0,400,0,,0,400,p,2018,"2018-12-24 00:00:00"
PR-AY00368,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-OF00366,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-OF00364,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-OF00362,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OMA00360,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00358,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OMA00356,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00354,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00352,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00350,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00348,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00346,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00344,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00342,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
